Date,Shot,Time_Start,Time_End,Mean_Ratio,Mean_Bt_Axis,Mean_Bp_Max,Classification
250206,20,490,510,0.155547337356412,0.0101598611683717,0.0655471548400188,Spheromak
250206,21,490,510,0.174174806517702,0.0114200294153382,0.0664982176525428,Spheromak
250206,22,490,510,0.128267597775862,0.00855068139064102,0.0667028274607833,Spheromak
250206,23,490,510,0.162474246088035,0.0106477024220909,0.0666479784211927,Spheromak
241225,9,500,530,0.316724607549301,0.0183364585821256,0.0558023651296947,Spheromak
241225,10,500,530,0.313453170506322,0.0182318225980108,0.0558763843250377,Spheromak
241225,11,500,530,0.334686824516522,0.0189563704827349,0.0559397339038597,Spheromak
241225,14,500,530,0.183922133913919,0.0105246154387257,0.0566784636086972,Spheromak
241225,15,500,530,0.166711929269802,0.00971536047888221,0.0575035518462954,Spheromak
241225,16,500,530,0.208980152302972,0.0123893359342438,0.0588380406991752,Spheromak
241225,17,500,530,0.107613667931743,0.00565424705244941,0.0566994616674428,Spheromak
241225,18,500,530,0.112351203067707,0.0061682231951776,0.0567986738327854,Spheromak
241225,19,500,530,0.121055773649452,0.00671458330615581,0.0558965679597379,Spheromak
241225,20,500,530,0.0667761939438997,0.00302209642494096,0.0601806979475296,FRC
241225,21,500,530,0.0869764054918874,0.00501403608928576,0.0566440989991856,FRC
241225,22,500,530,0.086182860272447,0.00383778088005234,0.056538899178468,FRC
241225,23,500,530,0.0508865711260823,-0.0020574978572014,0.0605937413515939,FRC
241225,24,500,530,0.0575860330733371,-0.0024605737745625,0.056716006470715,FRC
241225,25,500,530,0.183293934593571,0.0121242827651266,0.0628976690689553,Spheromak
241225,26,500,530,0.133771144476242,0.00888333867956743,0.0630129476351955,Spheromak
241225,28,500,530,0.182375842003269,-0.0102104206380691,0.0535718175034974,Spheromak
241225,29,500,530,0.195484241569544,-0.0116933962295473,0.0598194073945144,Spheromak
241225,30,500,530,0.10235004130601,0.00218359572744344,0.0531223737556373,Spheromak
241225,31,500,530,0.110733455085478,0.00404331486870067,0.0576847277370996,Spheromak
241225,32,500,530,0.239389473849498,0.0118157723246827,0.0532676802713148,Spheromak
241225,33,500,530,0.273628711669352,0.0131706466498008,0.054383992474954,Spheromak
241225,34,500,530,0.277710076007765,0.0149916058827706,0.0568626624683771,Spheromak
